CAN_ID,p_des,p_act,tff_des,tff_act
0x0004,0,-0.0501642,0.702299,-0.00610542
0x0004,0.000775136,-0.0501642,0.712376,-0.00610542
0x0004,0.00309961,-0.000190735,0.0429652,-0.00610542
0x0004,0.00697126,-0.000190735,0.0932967,0.00610542
0x0004,0.0123862,0.000190735,0.15835,0.518925
0x0004,0.0193391,0.00209808,0.222035,0.445665
0x0004,0.0278232,0.00476837,0.294944,-0.189255
0x0004,0.0378299,0.00629425,0.403669,-0.103785
0x0004,0.0493494,0.00705719,0.542742,0.0427341
0x0004,0.0623705,0.00782013,0.701335,0.250305
0x0004,0.0768802,0.00896454,0.873939,0.335775
0x0004,0.0928643,0.0116348,1.04435,0.433455
0x0004,0.110307,0.0162125,1.20701,0.433455
0x0004,0.129191,0.022316,1.36706,0.457876
0x0004,0.149497,0.0295639,1.52957,0.445665
0x0004,0.171207,0.0379572,1.69428,0.421246
0x0004,0.194297,0.0482569,1.85026,0.506716
0x0004,0.218746,0.0600824,2.00254,0.470085
0x0004,0.244529,0.0734339,2.1508,0.433455
0x0004,0.271621,0.0883112,2.29472,0.494505
0x0004,0.299995,0.104715,2.43393,0.396826
0x0004,0.329624,0.123026,2.56275,0.433455
0x0004,0.360477,0.141718,2.70215,0.445665
0x0004,0.392525,0.162318,2.83036,0.372406
0x0004,0.425735,0.183681,2.96303,0.409035
0x0004,0.460076,0.20695,3.08368,0.445665
0x0004,0.495512,0.230984,3.20789,0.433455
0x0004,0.53201,0.256924,3.3192,0.372406
0x0004,0.569533,0.283628,3.43314,0.323565
0x0004,0.608044,0.311475,3.54393,0.311356
0x0004,0.647505,0.340848,3.6457,0.347986
0x0004,0.687878,0.370985,3.74862,0.323565
0x0004,0.729121,0.402266,3.84686,0.311356
0x0004,0.771196,0.435073,3.93453,0.311356
0x0004,0.814059,0.468642,4.02178,0.323565
0x0004,0.85767,0.502975,4.10805,0.360195
0x0004,0.901984,0.538835,4.1821,0.396826
0x0004,0.946958,0.575456,4.25407,0.360195
0x0004,0.992548,0.612078,4.33403,0.286936
0x0004,1.03871,0.650988,4.38938,0.335775
0x0004,1.08539,0.690661,4.44085,0.360195
0x0004,1.13256,0.730717,4.49322,0.250305
0x0004,1.18016,0.771534,4.54054,0.335775
0x0004,1.22814,0.813115,4.58218,0.323565
0x0004,1.27646,0.855078,4.62287,0.238094
0x0004,1.32507,0.898184,4.65133,0.299145
0x0004,1.37392,0.941672,4.67759,0.189255
0x0004,1.42297,0.985542,4.70104,0.274725
0x0004,1.47217,1.03017,4.71571,0.189255
0x0004,1.52146,1.07519,4.72629,0.225885
0x0004,1.5708,1.12058,4.73217,0.177046
0x0004,1.62014,1.16674,4.72736,0.213675
0x0004,1.66943,1.2129,4.72194,0.164835
0x0004,1.71862,1.25906,4.71524,0.213675
0x0004,1.76767,1.30598,4.69596,0.128204
0x0004,1.81652,1.3529,4.67415,0.164835
0x0004,1.86513,1.39906,4.65989,0.152626
0x0004,1.91345,1.44713,4.61513,0.115995
0x0004,1.96144,1.49443,4.57666,0.152626
0x0004,2.00903,1.54173,4.53317,0.0671558
0x0004,2.0562,1.58865,4.48942,0.152626
0x0004,2.10288,1.63596,4.43409,0.0427341
0x0004,2.14904,1.68288,4.37727,0.103785
0x0004,2.19463,1.7298,4.31303,0.0305252
0x0004,2.23961,1.7752,4.26217,0.0305252
0x0004,2.28392,1.8225,4.17601,0.0915756
0x0004,2.32753,1.86866,4.09672,0.00610542
0x0004,2.3704,1.91329,4.02908,0.0671558
0x0004,2.41247,1.95907,3.93518,0.00610542
0x0004,2.45371,2.00408,3.84115,0.0305252
0x0004,2.49409,2.04833,3.74647,-0.0671558
0x0004,2.53355,2.0922,3.6453,0.0305252
0x0004,2.57206,2.13531,3.54245,-0.0793648
0x0004,2.60958,2.17842,3.42675,-0.0305252
0x0004,2.64608,2.22038,3.31374,-0.0183144
0x0004,2.68152,2.26158,3.19764,-0.0915756
0x0004,2.71586,2.30201,3.07795,-0.0671558
0x0004,2.74907,2.34321,2.9329,-0.0793648
0x0004,2.78112,2.38098,2.82079,-0.128204
0x0004,2.81197,2.41951,2.68247,-0.0915756
0x0004,2.8416,2.45613,2.55494,-0.0427341
0x0004,2.86997,2.49199,2.42178,-0.115995
0x0004,2.89706,2.52708,2.28264,-0.140415
0x0004,2.92285,2.56104,2.1425,-0.164835
0x0004,2.9473,2.59384,2.00104,-0.152626
0x0004,2.97039,2.62551,1.85794,-0.115995
0x0004,2.9921,2.65679,1.70222,-0.115995
0x0004,3.0124,2.68654,1.54964,-0.103785
0x0004,3.03129,2.71553,1.38925,-0.103785
0x0004,3.04873,2.74262,1.23681,-0.152626
0x0004,3.06471,2.76894,1.0761,-0.225885
0x0004,3.07922,2.79412,0.912235,-0.238094
0x0004,3.09224,2.81777,0.750395,-0.164835
0x0004,3.10376,2.84028,0.585057,-0.115995
0x0004,3.11377,2.86126,0.421395,-0.201466
0x0004,3.12225,2.88109,0.253979,-0.225885
0x0004,3.12921,2.8994,0.0880232,-0.115995
0x0004,3.13462,2.91619,-0.0765841,-0.262516
0x0004,3.13849,2.93183,-0.245216,-0.115995
0x0004,3.14082,2.94594,-0.412601,-0.250305
0x0004,3.14159,2.95853,-0.57876,-0.128204
0x0004,3.14082,2.9696,-0.743727,-0.238094
0x0004,3.13849,2.97913,-0.907461,-0.189255
0x0004,3.13462,2.98791,-1.08063,-0.164835
0x0004,3.12921,2.99477,-1.24715,-0.201466
0x0004,3.12225,2.99973,-1.40697,-0.213675
0x0004,3.11377,3.00355,-1.57066,-0.201466
0x0004,3.10376,3.00698,-1.74882,-0.250305
0x0004,3.09224,3.00851,-1.91993,-0.274725
0x0004,3.07922,3.00889,-2.09455,-0.335775
0x0004,3.06471,3.00813,-2.27249,-0.421246
0x0004,3.04873,3.00622,-2.45358,-0.445665
0x0004,3.03129,3.00317,-2.63761,-0.531136
0x0004,3.0124,2.99821,-2.81367,-0.567766
0x0004,2.9921,2.9921,-2.99221,-0.555555
0x0004,2.97039,2.98409,-3.16228,-0.543346
0x0004,2.9473,2.97341,-3.31292,-0.555555
0x0004,2.92285,2.96159,-3.46518,-0.433455
0x0004,2.89706,2.94785,-3.6081,-0.494505
0x0004,2.86997,2.93221,-3.74133,-0.372406
0x0004,2.8416,2.91543,-3.87522,-0.445665
0x0004,2.81197,2.89788,-4.0147,-0.335775
0x0004,2.78112,2.87881,-4.14877,-0.433455
0x0004,2.74907,2.85821,-4.277,-0.445665
0x0004,2.71586,2.83646,-4.40431,-0.335775
0x0004,2.68152,2.81395,-4.53564,-0.396826
0x0004,2.64608,2.78916,-4.64918,-0.421246
0x0004,2.60958,2.76322,-4.76048,-0.445665
0x0004,2.57206,2.7369,-4.87977,-0.421246
0x0004,2.53355,2.70905,-4.99054,-0.433455
0x0004,2.49409,2.67929,-5.08697,-0.409035
0x0004,2.45372,2.64954,-5.19524,-0.396826
0x0004,2.41247,2.61711,-5.27746,-0.396826
0x0004,2.3704,2.58392,-5.35978,-0.396826
0x0004,2.32753,2.54959,-5.43635,-0.384615
0x0004,2.28392,2.51526,-5.52263,-0.360195
0x0004,2.23961,2.47978,-5.60203,-0.286936
0x0004,2.19463,2.44316,-5.67399,-0.323565
0x0004,2.14905,2.40616,-5.7486,-0.360195
0x0004,2.10288,2.36763,-5.80929,-0.335775
0x0004,2.0562,2.32834,-5.86611,-0.262516
0x0004,2.00903,2.28866,-5.92383,-0.323565
0x0004,1.96144,2.24823,-5.97648,-0.311356
0x0004,1.91346,2.20588,-6.00743,-0.250305
0x0004,1.86513,2.16392,-6.04814,-0.299145
0x0004,1.81652,2.12158,-6.08727,-0.238094
0x0004,1.76767,2.07809,-6.11353,-0.299145
0x0004,1.71862,2.03346,-6.12629,-0.201466
0x0004,1.66943,1.98997,-6.15699,-0.250305
0x0004,1.62014,1.94419,-6.15689,-0.201466
0x0004,1.5708,1.89841,-6.15742,-0.213675
0x0004,1.52146,1.85264,-6.15798,-0.177046
0x0004,1.47217,1.80686,-6.15788,-0.225885
0x0004,1.42297,1.75956,-6.13516,-0.140415
0x0004,1.37392,1.7134,-6.12656,-0.213675
0x0004,1.32507,1.66571,-6.09408,-0.128204
0x0004,1.27646,1.61841,-6.06377,-0.128204
0x0004,1.22814,1.57149,-6.03504,-0.140415
0x0004,1.18016,1.52457,-6.00191,-0.103785
0x0004,1.13256,1.47765,-5.96378,-0.177046
0x0004,1.08539,1.43072,-5.92002,-0.0671558
0x0004,1.03871,1.38457,-5.88071,-0.164835
0x0004,0.992547,1.33803,-5.82924,-0.0671558
0x0004,0.946958,1.2911,-5.76501,-0.115995
0x0004,0.901983,1.24418,-5.69277,-0.0671558
0x0004,0.85767,1.19802,-5.62262,-0.0793648
0x0004,0.81406,1.1511,-5.53265,-0.0427341
0x0004,0.771196,1.10571,-5.45435,-0.0305252
0x0004,0.729122,1.05993,-5.36043,-0.0427341
0x0004,0.687878,1.0153,-5.27174,0.00610542
0x0004,0.647506,0.971428,-5.18242,-0.0183144
0x0004,0.608044,0.927176,-5.07589,0.0427341
0x0004,0.569533,0.884832,-4.98372,-0.00610542
0x0004,0.53201,0.841725,-4.86802,0.00610542
0x0004,0.495512,0.80129,-4.77639,0.0793648
0x0004,0.460076,0.759327,-4.64959,-0.0183144
0x0004,0.425735,0.719273,-4.53526,0.0305252
0x0004,0.392525,0.679599,-4.41156,0.103785
0x0004,0.360477,0.640306,-4.27809,0.0183144
0x0004,0.329624,0.602541,-4.15046,0.0427341
0x0004,0.299995,0.565919,-4.02292,0.115995
0x0004,0.271621,0.529297,-3.87908,0.115995
0x0004,0.244529,0.494202,-3.73994,0.0915756
0x0004,0.218746,0.459868,-3.59446,0.0305252
0x0004,0.194297,0.426299,-3.44232,0.0305252
0x0004,0.171207,0.394636,-3.29922,0.054945
0x0004,0.149497,0.363737,-3.14885,0.0915756
0x0004,0.129191,0.3336,-2.99092,0.0915756
0x0004,0.110307,0.305371,-2.84121,0.103785
0x0004,0.0928643,0.277905,-2.68343,0.0671558
0x0004,0.0768802,0.251965,-2.52806,0.0793648
0x0004,0.0623705,0.227169,-2.36955,0.140415
0x0004,0.0493494,0.203135,-2.20235,0.213675
0x0004,0.03783,0.18101,-2.04235,0.177046
0x0004,0.0278233,0.160411,-1.88405,0.0671558
0x0004,0.0193392,0.140574,-1.71662,0.189255
0x0004,0.0123863,0.122263,-1.55066,0.201466
0x0004,0.00697126,0.105478,-1.38607,0.128204
0x0004,0.00309961,0.0894556,-1.21208,0.225885
0x0004,0.000775042,0.0757227,-1.05004,0.115995
0x0004,0,0.0627527,-0.878538,0.213675
0x0004,0.000775136,0.0516901,-0.713585,0.201466
0x0004,0.00309961,0.0413904,-0.539171,0.140415
0x0004,0.00697126,0.0329981,-0.371347,0.213675
0x0004,0.0123862,0.0265121,-0.21015,0.225885
0x0004,0.0193391,0.0207901,-0.0396534,0.189255
0x0004,0.0278232,0.0162125,0.134727,0.189255
0x0004,0.0378299,0.0139236,0.296858,0.177046
0x0004,0.0493494,0.0139236,0.446612,0.0915756
0x0004,0.0623705,0.0154495,0.594523,0.0915756
0x0004,0.0768802,0.0177383,0.751106,0.115995
0x0004,0.0928643,0.0204086,0.921515,0.225885
0x0004,0.110307,0.0238419,1.1002,0.360195
0x0004,0.129191,0.028038,1.28695,0.482296
0x0004,0.149497,0.0329981,1.48149,0.555555
0x0004,0.171207,0.040246,1.66224,0.543346
0x0004,0.194297,0.0497828,1.8289,0.555555
0x0004,0.218746,0.0612268,1.98652,0.506716
0x0004,0.244529,0.0741968,2.14012,0.482296
0x0004,0.271621,0.0890741,2.28404,0.494505
0x0004,0.299995,0.105097,2.42858,0.409035
0x0004,0.329624,0.122644,2.56809,0.433455
0x0004,0.360477,0.142099,2.69681,0.457876
0x0004,0.392525,0.162318,2.83036,0.347986
0x0004,0.425735,0.184062,2.95769,0.409035
0x0004,0.460076,0.20695,3.08368,0.457876
0x0004,0.495512,0.230984,3.20789,0.421246
0x0004,0.53201,0.256924,3.3192,0.372406
0x0004,0.569533,0.283246,3.43849,0.335775
0x0004,0.608044,0.311856,3.53859,0.311356
0x0004,0.647505,0.340848,3.6457,0.299145
0x0004,0.687878,0.372129,3.7326,0.299145
0x0004,0.729121,0.403791,3.8255,0.299145
0x0004,0.771196,0.43698,3.90782,0.299145
0x0004,0.814059,0.470551,3.99506,0.360195
0x0004,0.85767,0.504883,4.08135,0.360195
0x0004,0.901984,0.541123,4.15006,0.372406
0x0004,0.946958,0.577363,4.22737,0.335775
0x0004,0.992548,0.614748,4.29665,0.274725
0x0004,1.03871,0.652895,4.36267,0.347986
0x0004,1.08539,0.692569,4.41415,0.323565
0x0004,1.13256,0.731861,4.4772,0.225885
0x0004,1.18016,0.77306,4.51918,0.286936
0x0004,1.22814,0.81426,4.56616,0.311356
0x0004,1.27646,0.856604,4.60151,0.225885
0x0004,1.32507,0.89971,4.62997,0.311356
0x0004,1.37392,0.942435,4.66691,0.189255
0x0004,1.42297,0.987068,4.67967,0.299145
0x0004,1.47217,1.03132,4.69967,0.177046
0x0004,1.52146,1.07633,4.71027,0.225885
0x0004,1.5708,1.12211,4.71081,0.189255
0x0004,1.62014,1.16789,4.71134,0.213675
0x0004,1.66943,1.21405,4.70592,0.152626
0x0004,1.71862,1.2602,4.69921,0.213675
0x0004,1.76767,1.30674,4.68527,0.128204
0x0004,1.81652,1.35367,4.66347,0.140415
0x0004,1.86513,1.40135,4.62784,0.177046
0x0004,1.91345,1.44751,4.60979,0.0793648
0x0004,1.96144,1.49519,4.56598,0.164835
0x0004,2.00903,1.54326,4.51181,0.0793648
0x0004,2.0562,1.59018,4.46806,0.140415
0x0004,2.10288,1.6371,4.41807,0.0427341
0x0004,2.14904,1.68402,4.36125,0.0793648
0x0004,2.19463,1.73056,4.30235,0.0305252
0x0004,2.23961,1.77787,4.22478,0.0427341
0x0004,2.28392,1.82555,4.13328,0.0427341
0x0004,2.32753,1.87209,4.04865,-0.0183144
0x0004,2.3704,1.91672,3.98102,0.0671558
0x0004,2.41247,1.96212,3.89245,-0.0305252
0x0004,2.45371,2.00751,3.79308,0.0183144
0x0004,2.49409,2.05062,3.71443,-0.054945
0x0004,2.53355,2.09449,3.61324,0.0305252
0x0004,2.57206,2.13722,3.51574,-0.0671558
0x0004,2.60958,2.17918,3.41607,-0.00610542
0x0004,2.64608,2.22152,3.29772,-0.0305252
0x0004,2.68152,2.26387,3.16559,-0.0915756
0x0004,2.71586,2.3043,3.0459,-0.0183144
0x0004,2.74907,2.34359,2.92756,-0.0915756
0x0004,2.78112,2.38251,2.79942,-0.115995
0x0004,2.81197,2.42027,2.67179,-0.054945
0x0004,2.8416,2.45689,2.54426,-0.054945
0x0004,2.86997,2.49313,2.40576,-0.115995
0x0004,2.89706,2.52861,2.26128,-0.140415
0x0004,2.92285,2.56218,2.12648,-0.164835
0x0004,2.9473,2.59461,1.99035,-0.128204
0x0004,2.97039,2.62665,1.84192,-0.103785
0x0004,2.9921,2.65755,1.69154,-0.115995
0x0004,3.0124,2.68692,1.5443,-0.103785
0x0004,3.03129,2.71591,1.38391,-0.103785
0x0004,3.04873,2.74262,1.23681,-0.177046
0x0004,3.06471,2.76932,1.07076,-0.213675
0x0004,3.07922,2.79412,0.912235,-0.238094
0x0004,3.09224,2.81739,0.755735,-0.177046
0x0004,3.10376,2.84028,0.585057,-0.115995
0x0004,3.11377,2.86126,0.421395,-0.213675
0x0004,3.12225,2.88148,0.248638,-0.238094
0x0004,3.12921,2.8994,0.0880232,-0.103785
0x0004,3.13462,2.91657,-0.0819247,-0.274725
0x0004,3.13849,2.93221,-0.250556,-0.152626
0x0004,3.14082,2.94633,-0.417941,-0.250305
0x0004,3.14159,2.9593,-0.589442,-0.115995
0x0004,3.14082,2.97036,-0.754408,-0.250305
0x0004,3.13849,2.9799,-0.918142,-0.189255
0x0004,3.13462,2.98829,-1.08597,-0.164835
0x0004,3.12921,2.99516,-1.25249,-0.201466
0x0004,3.12225,3.00011,-1.41231,-0.201466
0x0004,3.11377,3.00393,-1.576,-0.201466
0x0004,3.10376,3.00698,-1.74882,-0.250305
0x0004,3.09224,3.00851,-1.91993,-0.286936
0x0004,3.07922,3.00889,-2.09455,-0.323565
0x0004,3.06471,3.00813,-2.27249,-0.421246
0x0004,3.04873,3.00622,-2.45358,-0.433455
0x0004,3.03129,3.00278,-2.63227,-0.543346
0x0004,3.0124,2.99859,-2.81901,-0.555555
0x0004,2.9921,2.9921,-2.99221,-0.567766
0x0004,2.97039,2.98371,-3.15694,-0.543346
0x0004,2.9473,2.97379,-3.31826,-0.555555
0x0004,2.92285,2.96159,-3.46518,-0.433455
0x0004,2.89706,2.94823,-3.61345,-0.506716
0x0004,2.86997,2.93336,-3.75736,-0.433455
0x0004,2.8416,2.91695,-3.89658,-0.482296
0x0004,2.81197,2.89902,-4.03072,-0.360195
0x0004,2.78112,2.87995,-4.16479,-0.433455
0x0004,2.74907,2.85973,-4.29836,-0.433455
0x0004,2.71586,2.83799,-4.42567,-0.347986
0x0004,2.68152,2.8151,-4.55166,-0.396826
0x0004,2.64608,2.7903,-4.6652,-0.433455
0x0004,2.60958,2.76474,-4.78184,-0.433455
0x0004,2.57206,2.73766,-4.89045,-0.421246
0x0004,2.53355,2.70981,-5.00123,-0.409035
0x0004,2.49409,2.68006,-5.09765,-0.396826
0x0004,2.45372,2.64916,-5.1899,-0.384615
0x0004,2.41247,2.61749,-5.2828,-0.384615
0x0004,2.3704,2.58545,-5.38114,-0.409035
0x0004,2.32753,2.55112,-5.45772,-0.396826
0x0004,2.28392,2.51678,-5.54399,-0.347986
0x0004,2.23961,2.48131,-5.62339,-0.286936
0x0004,2.19463,2.44392,-5.68467,-0.299145
0x0004,2.14905,2.4073,-5.76464,-0.347986
0x0004,2.10288,2.36839,-5.81997,-0.335775
0x0004,2.0562,2.32872,-5.87145,-0.262516
0x0004,2.00903,2.2879,-5.91315,-0.323565
0x0004,1.96144,2.24708,-5.96045,-0.262516
0x0004,1.91346,2.20588,-6.00743,-0.238094
0x0004,1.86513,2.16316,-6.03746,-0.299145
0x0004,1.81652,2.12081,-6.07659,-0.225885
0x0004,1.76767,2.07732,-6.10285,-0.286936
0x0004,1.71862,2.03384,-6.13164,-0.225885
0x0004,1.66943,1.98959,-6.15165,-0.262516
0x0004,1.62014,1.94419,-6.15689,-0.213675
0x0004,1.5708,1.89994,-6.17879,-0.225885
0x0004,1.52146,1.8534,-6.16866,-0.189255
0x0004,1.47217,1.80724,-6.16322,-0.225885
0x0004,1.42297,1.76146,-6.16186,-0.152626
0x0004,1.37392,1.71492,-6.14792,-0.213675
0x0004,1.32507,1.66724,-6.11544,-0.128204
0x0004,1.27646,1.62108,-6.10116,-0.164835
0x0004,1.22814,1.5734,-6.06174,-0.140415
0x0004,1.18016,1.52533,-6.01259,-0.115995
0x0004,1.13256,1.47841,-5.97446,-0.152626
0x0004,1.08539,1.43111,-5.92536,-0.054945
0x0004,1.03871,1.38457,-5.88071,-0.152626
0x0004,0.992547,1.33764,-5.82389,-0.054945
0x0004,0.946958,1.29034,-5.75433,-0.0915756
0x0004,0.901983,1.24304,-5.67675,-0.054945
0x0004,0.85767,1.19688,-5.6066,-0.0427341
