CAN_ID,p_des,p_act,tff_des,tff_act
0x0004,0,-0.558671,5.02804,-0.00610542
0x0004,1.20779e-05,-0.55066,4.95604,2.66789
0x0004,4.8405e-05,-0.515564,4.64046,4.23077
0x0004,0.000108982,-0.455672,4.10192,1.16606
0x0004,0.000193807,-0.388533,3.49834,-0.531136
0x0004,0.000302789,-0.328259,2.95676,-1.53236
0x0004,0.00043602,-0.280575,2.52866,-1.41026
0x0004,0.000593406,-0.243191,2.19346,-0.885225
0x0004,0.000775136,-0.214198,1.93398,-0.494505
0x0004,0.000980927,-0.189021,1.70904,-0.286936
0x0004,0.00121106,-0.166896,1.51175,-0.128204
0x0004,0.00146526,-0.146677,1.33182,-0.0915756
0x0004,0.0017438,-0.128748,1.17268,-0.152626
0x0004,0.00204649,-0.112726,1.03091,-0.115995
0x0004,0.00237334,-0.0989933,0.909926,-0.152626
0x0004,0.00272435,-0.0871668,0.806296,-0.054945
0x0004,0.00309961,-0.0768671,0.716601,-0.0305252
0x0004,0.00349902,-0.0677118,0.637399,-0.00610542
0x0004,0.00392259,-0.0593195,0.565256,-0.00610542
0x0004,0.00437031,-0.052453,0.50704,0.00610542
0x0004,0.00484228,-0.0459681,0.452451,0.0305252
0x0004,0.00533832,-0.0406275,0.408354,0.054945
0x0004,0.00585851,-0.0360498,0.371317,0.0793648
0x0004,0.00640276,-0.0314722,0.334472,0.0671558
0x0004,0.00697126,-0.0272751,0.301246,0.0183144
0x0004,0.00756382,-0.0242233,0.278521,0.128204
0x0004,0.00818045,-0.021553,0.259421,0.128204
0x0004,0.00882123,-0.0192642,0.243948,0.164835
0x0004,0.00948608,-0.0169754,0.228667,0.140415
0x0004,0.0101751,-0.0143051,0.210147,0.0915756
0x0004,0.010888,-0.0120163,0.195251,0.0671558
0x0004,0.0116251,-0.00972748,0.180548,0.0793648
0x0004,0.0123862,-0.0082016,0.172904,0.0671558
0x0004,0.0131713,-0.00667572,0.165452,0.128204
0x0004,0.0139804,-0.00553131,0.161625,0.103785
0x0004,0.0148136,-0.0043869,0.157991,0.140415
0x0004,0.0156708,-0.00286102,0.151115,0.0915756
0x0004,0.0165519,-0.00171661,0.147865,0.140415
0x0004,0.0174571,-0.000572205,0.144807,0.0793648
0x0004,0.0183861,0.000953674,0.138506,0.103785
0x0004,0.0193391,0.00286102,0.128963,0.054945
0x0004,0.0203161,0.00362396,0.129913,0.103785
0x0004,0.0213168,0.00476837,0.127619,0.0915756
0x0004,0.0223416,0.00553131,0.128951,0.164835
0x0004,0.0233902,0.00514984,0.140773,0.213675
0x0004,0.0244627,0.00514984,0.149353,0.250305
0x0004,0.025559,0.00514984,0.158123,0.274725
0x0004,0.0266791,0.00514984,0.167084,0.299145
